item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q14906123,FOS,37,ENSG00000170345,2353,ENSG00000170345,Homo sapiens
Q14906140,DAG1,62,ENSG00000173402,1605,ENSG00000173402,Homo sapiens
Q14906152,UTRN,52,ENSG00000152818,7402,ENSG00000152818,Homo sapiens
Q14906154,CTTN,64,ENSG00000085733,2017,ENSG00000085733,Homo sapiens
Q14906154,CTTN,64,ENSG00000288401,2017,ENSG00000085733,Homo sapiens
Q14906162,SPARC,38,ENSG00000113140,6678,ENSG00000113140,Homo sapiens
Q14906168,GMNN,39,ENSG00000112312,51053,ENSG00000112312,Homo sapiens
Q14906178,THY1,39,ENSG00000154096,7070,ENSG00000154096,Homo sapiens
Q14906191,CNTF,25,ENSG00000242689,1270,ENSG00000242689,Homo sapiens
Q14906204,HGF,48,ENSG00000019991,3082,ENSG00000019991,Homo sapiens
Q14906268,GAP43,28,ENSG00000172020,2596,ENSG00000172020,Homo sapiens
Q14906304,MAG,34,ENSG00000105695,4099,ENSG00000105695,Homo sapiens
Q14906367,THBS1,38,ENSG00000137801,7057,ENSG00000137801,Homo sapiens
Q14906371,SERPINA3,40,ENSG00000196136,12,ENSG00000196136,Homo sapiens
Q14906383,MYOG,24,ENSG00000122180,4656,ENSG00000122180,Homo sapiens
Q14906427,TWIST1,30,ENSG00000122691,7291,ENSG00000122691,Homo sapiens
Q14906495,MITF,56,ENSG00000187098,4286,ENSG00000187098,Homo sapiens
Q14906548,CTSG,28,ENSG00000100448,1511,ENSG00000100448,Homo sapiens
Q14906591,PXN,76,ENSG00000089159,5829,ENSG00000089159,Homo sapiens
Q14906663,MAPK9,54,ENSG00000050748,5601,ENSG00000050748,Homo sapiens
Q14906753,MYCN,32,ENSG00000134323,4613,ENSG00000134323,Homo sapiens
Q14906786,EPX,24,ENSG00000121053,8288,ENSG00000121053,Homo sapiens
Q14906812,NES,24,ENSG00000132688,10763,ENSG00000132688,Homo sapiens
Q14906847,COL3A1,47,ENSG00000168542,1281,ENSG00000168542,Homo sapiens
Q14906890,ICOS,25,ENSG00000163600,29851,ENSG00000163600,Homo sapiens
Q14906920,EMD,33,ENSG00000102119,2010,ENSG00000102119,Homo sapiens
Q14906952,HLA-A,157,ENSG00000206503,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000206505,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000223980,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000224320,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000227715,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000229215,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000231834,3105,ENSG00000206503,Homo sapiens
Q14906952,HLA-A,157,ENSG00000235657,3105,ENSG00000206503,Homo sapiens
Q14906978,HLA-C,136,ENSG00000204525,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000206435,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000206452,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000225691,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000228299,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000233841,3107,ENSG00000204525,Homo sapiens
Q14906978,HLA-C,136,ENSG00000237022,3107,ENSG00000204525,Homo sapiens
Q14907085,RUNX2,46,ENSG00000124813,860,ENSG00000124813,Homo sapiens
Q14907096,LOX,35,ENSG00000113083,4015,ENSG00000113083,Homo sapiens
Q14907110,ZAP70,43,ENSG00000115085,7535,ENSG00000115085,Homo sapiens
Q14880759,TPMT,29,ENSG00000137364,7172,ENSG00000137364,Homo sapiens
Q14880807,EP300,40,ENSG00000100393,2033,ENSG00000100393,Homo sapiens
Q14880865,TCOF1,66,ENSG00000070814,6949,ENSG00000070814,Homo sapiens
Q14881072,SELP,37,ENSG00000174175,6403,ENSG00000174175,Homo sapiens
Q14881093,TAZ,77,ENSG00000102125,6901,ENSG00000102125,Homo sapiens
Q14881099,SLC24A5,30,ENSG00000188467,283652,ENSG00000188467,Homo sapiens
Q14881255,PRNP,43,ENSG00000171867,5621,ENSG00000171867,Homo sapiens
Q14881694,TBXAS1,74,ENSG00000059377,6916,ENSG00000059377,Homo sapiens
Q14881706,ABCA12,31,ENSG00000144452,26154,ENSG00000144452,Homo sapiens
Q14881709,ADAMTS2,39,ENSG00000087116,9509,ENSG00000087116,Homo sapiens
Q14881709,ADAMTS2,39,ENSG00000283802,9509,ENSG00000087116,Homo sapiens
Q14881725,COL1A1,46,ENSG00000108821,1277,ENSG00000108821,Homo sapiens
Q14881867,MEFV,41,ENSG00000103313,4210,ENSG00000103313,Homo sapiens
Q14882120,ANG,28,ENSG00000214274,283,ENSG00000214274,Homo sapiens
Q14882338,FMR1,55,ENSG00000102081,2332,ENSG00000102081,Homo sapiens
Q14882371,HAMP,29,ENSG00000105697,57817,ENSG00000105697,Homo sapiens
Q14882517,HTT,46,ENSG00000197386,3064,ENSG00000197386,Homo sapiens
Q14882921,HMOX1,30,ENSG00000100292,3162,ENSG00000100292,Homo sapiens
Q14883171,PLAUR,52,ENSG00000011422,5329,ENSG00000011422,Homo sapiens
Q14883378,APC,27,ENSG00000134982,324,ENSG00000134982,Homo sapiens
Q14883437,MUTYH,118,ENSG00000132781,4595,ENSG00000132781,Homo sapiens
Q14883734,WRN,41,ENSG00000165392,7486,ENSG00000165392,Homo sapiens
Q14884140,HRAS,58,ENSG00000174775,3265,ENSG00000174775,Homo sapiens
Q14884140,HRAS,58,ENSG00000276536,3265,ENSG00000174775,Homo sapiens
Q14884608,ATP7A,37,ENSG00000165240,538,ENSG00000165240,Homo sapiens
Q14884788,AMACR,40,ENSG00000242110,23600,ENSG00000242110,Homo sapiens
Q14884995,QDPR,39,ENSG00000151552,5860,ENSG00000151552,Homo sapiens
Q14885119,CD38,31,ENSG00000004468,952,ENSG00000004468,Homo sapiens
Q14885185,IL2RG,36,ENSG00000147168,3561,ENSG00000147168,Homo sapiens
Q14885202,LCK,47,ENSG00000182866,3932,ENSG00000182866,Homo sapiens
Q14885224,PPOX,97,ENSG00000143224,5498,ENSG00000143224,Homo sapiens
Q14885337,DYSF,63,ENSG00000135636,8291,ENSG00000135636,Homo sapiens
Q14885645,CCL2,26,ENSG00000108691,6347,ENSG00000108691,Homo sapiens
Q14886047,GRB7,43,ENSG00000141738,2886,ENSG00000141738,Homo sapiens
Q14886174,TAS2R16,23,ENSG00000128519,50833,ENSG00000128519,Homo sapiens
Q14886374,GLA,39,ENSG00000102393,2717,ENSG00000102393,Homo sapiens
Q14886430,GLI1,36,ENSG00000111087,2735,ENSG00000111087,Homo sapiens
Q14886491,GLI2,52,ENSG00000074047,2736,ENSG00000074047,Homo sapiens
Q14886904,GLI3,39,ENSG00000106571,2737,ENSG00000106571,Homo sapiens
Q14887295,SOST,28,ENSG00000167941,50964,ENSG00000167941,Homo sapiens
Q14887306,SLC2A4,34,ENSG00000181856,6517,ENSG00000181856,Homo sapiens
Q14887306,SLC2A4,34,ENSG00000288174,6517,ENSG00000181856,Homo sapiens
Q14887511,CD14,32,ENSG00000170458,929,ENSG00000170458,Homo sapiens
Q14887700,PIK3CA,39,ENSG00000121879,5290,ENSG00000121879,Homo sapiens
Q14887732,PIK3CD,51,ENSG00000171608,5293,ENSG00000171608,Homo sapiens
Q14888030,VCAN,42,ENSG00000038427,1462,ENSG00000038427,Homo sapiens
Q14888082,SP1,31,ENSG00000185591,6667,ENSG00000185591,Homo sapiens
Q14888124,UROD,57,ENSG00000126088,7389,ENSG00000126088,Homo sapiens
Q14888283,THBD,29,ENSG00000178726,7056,ENSG00000178726,Homo sapiens
Q14888415,MAOA,35,ENSG00000189221,4128,ENSG00000189221,Homo sapiens
Q14888529,HDC,37,ENSG00000140287,3067,ENSG00000140287,Homo sapiens
Q14888579,ADORA1,40,ENSG00000163485,134,ENSG00000163485,Homo sapiens
Q14888937,GUCY2C,27,ENSG00000070019,2984,ENSG00000070019,Homo sapiens
Q14888946,HSPA8,57,ENSG00000109971,3312,ENSG00000109971,Homo sapiens
Q14889263,FABP4,31,ENSG00000170323,2167,ENSG00000170323,Homo sapiens
Q14889334,FGF1,69,ENSG00000113578,2246,ENSG00000113578,Homo sapiens
Q14889529,FGF3,26,ENSG00000186895,2248,ENSG00000186895,Homo sapiens
Q14889532,IL7,40,ENSG00000104432,3574,ENSG00000104432,Homo sapiens
Q14889545,ALOX5AP,30,ENSG00000132965,241,ENSG00000132965,Homo sapiens
Q14889782,NF2,57,ENSG00000186575,4771,ENSG00000186575,Homo sapiens
Q14890024,AVPR1A,31,ENSG00000166148,552,ENSG00000166148,Homo sapiens
Q14890030,AVPR1B,25,ENSG00000198049,553,ENSG00000198049,Homo sapiens
Q14890035,AVPR2,31,ENSG00000126895,554,ENSG00000126895,Homo sapiens
Q14890078,GAPDH,54,ENSG00000111640,2597,ENSG00000111640,Homo sapiens
Q14890102,CYP1A2,25,ENSG00000140505,1544,ENSG00000140505,Homo sapiens
Q14890110,HSPG2,47,ENSG00000142798,3339,ENSG00000142798,Homo sapiens
Q14890118,IRF6,32,ENSG00000117595,3664,ENSG00000117595,Homo sapiens
Q14890468,APOE,40,ENSG00000130203,348,ENSG00000130203,Homo sapiens
Q14890615,APOB,118,ENSG00000084674,338,ENSG00000084674,Homo sapiens
Q14890978,HFE,56,ENSG00000010704,3077,ENSG00000010704,Homo sapiens
Q14891079,ICAM1,30,ENSG00000090339,3383,ENSG00000090339,Homo sapiens
Q14891424,HTR2A,37,ENSG00000102468,3356,ENSG00000102468,Homo sapiens
Q14891586,TRPV6,44,ENSG00000165125,55503,ENSG00000165125,Homo sapiens
Q14891586,TRPV6,44,ENSG00000276971,55503,ENSG00000165125,Homo sapiens
Q14891716,APCS,26,ENSG00000132703,325,ENSG00000132703,Homo sapiens
Q14891871,BACE1,42,ENSG00000186318,23621,ENSG00000186318,Homo sapiens
Q14897634,TNFRSF11A,41,ENSG00000141655,8792,ENSG00000141655,Homo sapiens
Q14897641,SNAP25,46,ENSG00000132639,6616,ENSG00000132639,Homo sapiens
Q14897645,OPRK1,34,ENSG00000082556,4986,ENSG00000082556,Homo sapiens
Q14897652,ROR2,41,ENSG00000169071,4920,ENSG00000169071,Homo sapiens
Q14897674,PLIN1,30,ENSG00000166819,5346,ENSG00000166819,Homo sapiens
Q14897677,LALBA,27,ENSG00000167531,3906,ENSG00000167531,Homo sapiens
Q14897694,NTRK1,37,ENSG00000198400,4914,ENSG00000198400,Homo sapiens
Q14897782,NTRK2,61,ENSG00000148053,4915,ENSG00000148053,Homo sapiens
Q14897851,CD40LG,26,ENSG00000102245,959,ENSG00000102245,Homo sapiens
Q14897864,VLDLR,37,ENSG00000147852,7436,ENSG00000147852,Homo sapiens
Q14897872,NGFR,28,ENSG00000064300,4804,ENSG00000064300,Homo sapiens
Q14897880,NTRK3,83,ENSG00000140538,4916,ENSG00000140538,Homo sapiens
Q14897890,AGRN,41,ENSG00000188157,375790,ENSG00000188157,Homo sapiens
Q14897899,FGF23,28,ENSG00000118972,8074,ENSG00000118972,Homo sapiens
Q14901445,UGT1A1,42,ENSG00000241635,54658,ENSG00000241635,Homo sapiens
Q14901457,IGF1R,57,ENSG00000140443,3480,ENSG00000140443,Homo sapiens
Q14901468,HSD11B2,27,ENSG00000176387,3291,ENSG00000176387,Homo sapiens
Q14901483,DNASE1,58,ENSG00000213918,1773,ENSG00000213918,Homo sapiens
Q14901649,CFL1,39,ENSG00000172757,1072,ENSG00000172757,Homo sapiens
Q14901671,SELL,32,ENSG00000188404,6402,ENSG00000188404,Homo sapiens
Q14901714,CAV3,31,ENSG00000182533,859,ENSG00000182533,Homo sapiens
Q14901827,VCAM1,33,ENSG00000162692,7412,ENSG00000162692,Homo sapiens
Q14901964,CASP1,57,ENSG00000137752,834,ENSG00000137752,Homo sapiens
Q17834356,ATP6V1A,35,ENSG00000114573,523,ENSG00000114573,Homo sapiens
Q17834428,ATP6V1B1,33,ENSG00000116039,525,ENSG00000116039,Homo sapiens
Q17834526,ATP6V1B2,35,ENSG00000147416,526,ENSG00000147416,Homo sapiens
Q17834609,ATP6V0C,37,ENSG00000185883,527,ENSG00000185883,Homo sapiens
Q17834668,ATP6V1C1,34,ENSG00000155097,528,ENSG00000155097,Homo sapiens
Q17834752,ATP6V1E1,40,ENSG00000131100,529,ENSG00000131100,Homo sapiens
Q17834860,ATP6V0B,41,ENSG00000117410,533,ENSG00000117410,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000206445,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000213760,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000226850,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000227587,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000230900,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000234668,534,ENSG00000213760,Homo sapiens
Q17834996,ATP6V1G2,60,ENSG00000234920,534,ENSG00000213760,Homo sapiens
Q17835285,ATP6AP1,36,ENSG00000071553,537,ENSG00000071553,Homo sapiens
Q17835501,ALDH7A1P1,9,,541,ENSG00000251400,Homo sapiens
Q17835532,ALDH7A1P2,9,,542,ENSG00000232292,Homo sapiens
Q17835563,ALDH7A1P3,9,,543,ENSG00000243853,Homo sapiens
Q17835591,ALDH7A1P4,9,,544,ENSG00000234489,Homo sapiens
Q17835753,ATRX,72,ENSG00000085224,546,ENSG00000085224,Homo sapiens
Q17835924,KIF1A,66,ENSG00000130294,547,ENSG00000130294,Homo sapiens
Q17836543,AXL,34,ENSG00000167601,558,ENSG00000167601,Homo sapiens
Q17836600,AZGP1,31,ENSG00000160862,563,ENSG00000160862,Homo sapiens
Q17836807,BAAT,28,ENSG00000136881,570,ENSG00000136881,Homo sapiens
Q17836807,BAAT,28,ENSG00000276559,570,ENSG00000136881,Homo sapiens
Q17836876,BACH1,43,ENSG00000156273,571,ENSG00000156273,Homo sapiens
Q17837016,BAG1,42,ENSG00000107262,573,ENSG00000107262,Homo sapiens
Q17837678,BARD1,52,ENSG00000138376,580,ENSG00000138376,Homo sapiens
Q17837870,BBS1,52,ENSG00000174483,582,ENSG00000174483,Homo sapiens
Q17838063,BBS2,54,ENSG00000125124,583,ENSG00000125124,Homo sapiens
Q17838228,BBS4,55,ENSG00000140463,585,ENSG00000140463,Homo sapiens
Q17838444,BCAT1,42,ENSG00000060982,586,ENSG00000060982,Homo sapiens
Q17838571,BCAT2,41,ENSG00000105552,587,ENSG00000105552,Homo sapiens
Q17846479,BCKDHA,37,ENSG00000248098,593,ENSG00000248098,Homo sapiens
Q17846579,BCKDHB,47,ENSG00000083123,594,ENSG00000083123,Homo sapiens
Q17847202,BCL2L2,33,ENSG00000129473,599,ENSG00000129473,Homo sapiens
Q17847267,BAK1P1,9,,600,ENSG00000175730,Homo sapiens
Q17847288,BAK1P2,9,,601,ENSG00000236616,Homo sapiens
Q17847309,BCL3,39,ENSG00000069399,602,ENSG00000069399,Homo sapiens
Q17847411,BCL6,43,ENSG00000113916,604,ENSG00000113916,Homo sapiens
Q17847519,BCL7A,30,ENSG00000110987,605,ENSG00000110987,Homo sapiens
Q17847519,BCL7A,30,ENSG00000282873,605,ENSG00000110987,Homo sapiens
Q17847569,NBEAP1,11,,606,ENSG00000258590,Homo sapiens
Q17847588,BCL9,33,ENSG00000116128,607,ENSG00000116128,Homo sapiens
Q17847640,TNFRSF17,27,ENSG00000048462,608,ENSG00000048462,Homo sapiens
Q17847659,HCN2,26,ENSG00000099822,610,ENSG00000099822,Homo sapiens
Q17847675,OPN1SW,24,ENSG00000128617,611,ENSG00000128617,Homo sapiens
Q17847742,BCRP4,9,,616,ENSG00000215456,Homo sapiens
Q17847759,BCS1L,65,ENSG00000074582,617,ENSG00000074582,Homo sapiens
Q17847898,BCYRN1,19,ENSG00000236824,618,ENSG00000236824,Homo sapiens
Q17847967,BDH1,73,ENSG00000161267,622,ENSG00000161267,Homo sapiens
Q17847967,BDH1,73,ENSG00000275544,622,ENSG00000161267,Homo sapiens
Q17848118,BFSP1,34,ENSG00000125864,631,ENSG00000125864,Homo sapiens
Q17848256,CEACAM1,48,ENSG00000079385,634,ENSG00000079385,Homo sapiens
Q17848358,BHMT,28,ENSG00000145692,635,ENSG00000145692,Homo sapiens
Q17848412,BICD1,50,ENSG00000151746,636,ENSG00000151746,Homo sapiens
Q17848647,BIK,24,ENSG00000100290,638,ENSG00000100290,Homo sapiens
Q17848682,PRDM1,41,ENSG00000057657,639,ENSG00000057657,Homo sapiens
Q17848770,BLK,43,ENSG00000136573,640,ENSG00000136573,Homo sapiens
Q17848770,BLK,43,ENSG00000285369,640,ENSG00000136573,Homo sapiens
Q17848876,BLM,42,ENSG00000197299,641,ENSG00000197299,Homo sapiens
Q17849112,BLVRA,31,ENSG00000106605,644,ENSG00000106605,Homo sapiens
Q17849187,BLVRB,29,ENSG00000090013,645,ENSG00000090013,Homo sapiens
Q17849249,BNC1,26,ENSG00000169594,646,ENSG00000169594,Homo sapiens
Q17849328,BMI1,35,ENSG00000168283,648,ENSG00000168283,Homo sapiens
Q17849752,BMPR2,31,ENSG00000204217,659,ENSG00000204217,Homo sapiens
Q17849815,BMX,31,ENSG00000102010,660,ENSG00000102010,Homo sapiens
Q17849895,POLR3D,29,ENSG00000168495,661,ENSG00000168495,Homo sapiens
Q17849956,BNIP1,35,ENSG00000113734,662,ENSG00000113734,Homo sapiens
Q17850045,BNIP2,39,ENSG00000140299,663,ENSG00000140299,Homo sapiens
Q17850131,BNIP3,29,ENSG00000176171,664,ENSG00000176171,Homo sapiens
Q17850164,BNIP3L,31,ENSG00000104765,665,ENSG00000104765,Homo sapiens
Q17850251,BOK,31,ENSG00000176720,666,ENSG00000176720,Homo sapiens
Q17850714,BPGM,29,ENSG00000172331,669,ENSG00000172331,Homo sapiens
Q17852937,BPHL,44,ENSG00000137274,670,ENSG00000137274,Homo sapiens
Q17853226,BRAF,66,ENSG00000157764,673,ENSG00000157764,Homo sapiens
Q17853272,BRCA2,41,ENSG00000139618,675,ENSG00000139618,Homo sapiens
Q17853316,BRDT,60,ENSG00000137948,676,ENSG00000137948,Homo sapiens
Q17853452,ZFP36L1,34,ENSG00000185650,677,ENSG00000185650,Homo sapiens
Q17853510,ZFP36L2,24,ENSG00000152518,678,ENSG00000152518,Homo sapiens
Q17853626,BST1,37,ENSG00000109743,683,ENSG00000109743,Homo sapiens
Q17853672,BST2,25,ENSG00000130303,684,ENSG00000130303,Homo sapiens
Q14907505,CD80,27,ENSG00000121594,941,ENSG00000121594,Homo sapiens
Q14907527,CD86,39,ENSG00000114013,942,ENSG00000114013,Homo sapiens
Q14907547,CCL3,35,ENSG00000274221,6348,ENSG00000277632,Homo sapiens
Q14907547,CCL3,35,ENSG00000277632,6348,ENSG00000277632,Homo sapiens
Q14907547,CCL3,35,ENSG00000278567,6348,ENSG00000277632,Homo sapiens
Q14907551,CCL4,33,ENSG00000275302,6351,ENSG00000275302,Homo sapiens
Q14907551,CCL4,33,ENSG00000275824,6351,ENSG00000275302,Homo sapiens
Q14907551,CCL4,33,ENSG00000277943,6351,ENSG00000275302,Homo sapiens
Q14907561,DBH,29,ENSG00000123454,1621,ENSG00000123454,Homo sapiens
Q14907568,MADCAM1,32,ENSG00000099866,8174,ENSG00000099866,Homo sapiens
Q14907577,LBP,26,ENSG00000129988,3929,ENSG00000129988,Homo sapiens
Q14907597,IL6ST,46,ENSG00000134352,3572,ENSG00000134352,Homo sapiens
Q14907607,TNFRSF4,33,ENSG00000186827,7293,ENSG00000186827,Homo sapiens
Q14907631,GHR,50,ENSG00000112964,2690,ENSG00000112964,Homo sapiens
Q14907639,CCL7,26,ENSG00000108688,6354,ENSG00000108688,Homo sapiens
Q14907645,PALLD,65,ENSG00000129116,23022,ENSG00000129116,Homo sapiens
Q14907647,CCL8,21,ENSG00000108700,6355,ENSG00000108700,Homo sapiens
Q14907650,CCL11,24,ENSG00000172156,6356,ENSG00000172156,Homo sapiens
Q14907657,CCL20,29,ENSG00000115009,6364,ENSG00000115009,Homo sapiens
Q14907664,MBL2,31,ENSG00000165471,4153,ENSG00000165471,Homo sapiens
Q14907671,IBSP,24,ENSG00000029559,3381,ENSG00000029559,Homo sapiens
Q14907685,SCN9A,49,ENSG00000169432,6335,ENSG00000169432,Homo sapiens
Q14907689,BAK1,34,ENSG00000030110,578,ENSG00000030110,Homo sapiens
Q14907705,BAD,31,ENSG00000002330,572,ENSG00000002330,Homo sapiens
Q14907714,CASP9,43,ENSG00000132906,842,ENSG00000132906,Homo sapiens
Q14907732,RAD51,51,ENSG00000051180,5888,ENSG00000051180,Homo sapiens
Q14907739,UGT2B7,32,ENSG00000171234,7364,ENSG00000171234,Homo sapiens
Q14907765,CCL21,32,ENSG00000137077,6366,ENSG00000137077,Homo sapiens
Q14907768,HLA-E,57,ENSG00000204592,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000206493,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000225201,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000229252,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000230254,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000233904,3133,ENSG00000204592,Homo sapiens
Q14907768,HLA-E,57,ENSG00000236632,3133,ENSG00000204592,Homo sapiens
Q14907773,CCL22,23,ENSG00000102962,6367,ENSG00000102962,Homo sapiens
Q14907776,CCL17,27,ENSG00000102970,6361,ENSG00000102970,Homo sapiens
Q14907780,CX3CL1,30,ENSG00000006210,6376,ENSG00000006210,Homo sapiens
Q14907795,CCL19,34,ENSG00000172724,6363,ENSG00000172724,Homo sapiens
Q14907798,CXCL9,22,ENSG00000138755,4283,ENSG00000138755,Homo sapiens
Q14907804,CXCL10,25,ENSG00000169245,3627,ENSG00000169245,Homo sapiens
Q14907808,CXCL11,26,ENSG00000169248,6373,ENSG00000169248,Homo sapiens
Q14907809,CXCL1,24,ENSG00000163739,2919,ENSG00000163739,Homo sapiens
Q14907831,ACP5,45,ENSG00000102575,54,ENSG00000102575,Homo sapiens
Q14907836,CXCL5,23,ENSG00000163735,6374,ENSG00000163735,Homo sapiens
Q14907844,FXN,35,ENSG00000165060,2395,ENSG00000165060,Homo sapiens
Q14907850,SIGMAR1,42,ENSG00000147955,10280,ENSG00000147955,Homo sapiens
Q14907854,CYP11B1,30,ENSG00000160882,1584,ENSG00000160882,Homo sapiens
Q14907873,CXCL13,24,ENSG00000156234,10563,ENSG00000156234,Homo sapiens
Q14907881,ABCB5,33,ENSG00000004846,340273,ENSG00000004846,Homo sapiens
Q14907885,CD2,27,ENSG00000116824,914,ENSG00000116824,Homo sapiens
