,official gene symbol,cell type (general),cell type id (human),gene id
64,WT1,Cardiac stem and precursor cells,Q101405076,Q18032376
65,WT1,Hepatic stellate cells,Q101404946,Q18032376
66,WT1,Hepatocytes,Q101405101,Q18032376
67,WT1,Kidney progenitor cells,Q101405120,Q18032376
68,WT1,Mesothelial cells,Q101405100,Q18032376
69,WT1,Neuroblasts,Q101405031,Q18032376
70,WT1,Podocytes,Q101405039,Q18032376
71,WT1,Sertoli cells,Q101404909,Q18032376
72,WT1,Vascular smooth muscle cells,Q101404937,Q18032376
73,SCARA5,Adipocyte progenitor cells,Q101404942,Q18054717
74,SCARA5,Adipocyte progenitor cells,Q101404943,Q18054717
75,SCARA5,Fibroblasts,Q101404861,Q18054717
76,HOXC8,Adipocyte progenitor cells,Q101404942,Q18027188
77,HOXC8,Adipocyte progenitor cells,Q101404943,Q18027188
78,HOXC8,Neurons,Q101405104,Q18027188
79,TCF7L1,Adipocyte progenitor cells,Q101404942,Q18047147
80,TCF7L1,Adipocyte progenitor cells,Q101404943,Q18047147
81,TCF7L1,Mast cells,Q101404923,Q18047147
82,HOXC9,Adipocyte progenitor cells,Q101404942,Q18027191
83,HOXC9,Adipocyte progenitor cells,Q101404943,Q18027191
84,HOXC9,Adipocytes,Q101405079,Q18027191
85,HOXC6,Adipocyte progenitor cells,Q101404942,Q18027185
86,HOXC6,Adipocyte progenitor cells,Q101404943,Q18027185
87,HOXC4,Adipocyte progenitor cells,Q101404942,Q18027180
88,HOXC4,Adipocyte progenitor cells,Q101404943,Q18027180
89,ZNF521,Adipocyte progenitor cells,Q101404942,Q18037800
90,ZNF521,Adipocyte progenitor cells,Q101404943,Q18037800
91,SULT1E1,Adipocyte progenitor cells,Q101404942,Q18031757
92,SULT1E1,Adipocyte progenitor cells,Q101404943,Q18031757
93,SULT1E1,Leydig cells,Q101405116,Q18031757
94,SULT1E1,Mammary epithelial cells,Q101404863,Q18031757
95,EBF2,Adipocyte progenitor cells,Q101404942,Q18045699
96,EBF2,Adipocyte progenitor cells,Q101404943,Q18045699
97,EBF2,Adipocytes,Q101405079,Q18045699
98,EBF2,Olfactory epithelial cells,Q101405047,Q18045699
99,NRG4,Adipocyte progenitor cells,Q101404942,Q18051425
100,NRG4,Adipocyte progenitor cells,Q101404943,Q18051425
101,SLC36A2,Adipocytes,Q101405079,Q18052221
102,SLC36A2,Proximal tubule cells,Q101404885,Q18052221
103,P2RX5,Adipocytes,Q101405079,Q18030318
104,P2RX5,B cells memory,Q101405059,Q18030318
105,P2RX5,B cells naive,Q101405085,Q18030318
106,P2RX5,Osteoblasts,Q101405044,Q18030318
107,P2RX5,Plasma cells,Q101405123,Q18030318
108,LEP,Adipocytes,Q101405079,Q14851942
109,LEP,Gastric chief cells,Q101404916,Q14851942
110,LEP,Leydig cells,Q101405116,Q14851942
111,UCP1,Adipocytes,Q101405079,Q14860933
112,CIDEA,Adipocytes,Q101405079,Q17861991
113,CIDEA,Thymocytes,Q101405038,Q17861991
114,PRDM16,Adipocytes,Q101405079,Q18045527
115,LHX8,Adipocytes,Q101405079,Q18058298
116,EPSTI1,Adipocytes,Q101405079,Q18048824
117,EPSTI1,T memory cells,Q101405071,Q18048824
118,MC2R,Adipocytes,Q101405079,Q14909766
119,FFAR2,Adipocytes,Q101405079,Q18026432
120,FFAR2,Beta cells,Q101405087,Q18026432
121,FFAR2,Sebocytes,Q101405069,Q18026432
122,PIKFYVE,Adipocytes,Q101405079,Q18053181
123,CYP11B2,Adipocytes,Q101405079,Q14904983
124,TLR2,Adipocytes,Q101405079,Q14907436
125,TLR2,Alveolar macrophages,Q101405064,Q14907436
126,TLR2,Hematopoietic stem cells,Q101405052,Q14907436
127,TLR2,Langerhans cells,Q101405080,Q14907436
128,TLR2,Macrophages,Q101405081,Q14907436
129,TLR2,Müller cells,Q101405096,Q14907436
130,TLR2,Müller cells,Q101405097,Q14907436
131,TLR2,Neutrophils,Q101405102,Q14907436
132,TLR2,Stromal cells,Q101404941,Q14907436
133,TLR4,Adipocytes,Q101405079,Q14914098
134,TLR4,Basophils,Q101405089,Q14914098
135,TLR4,Kupffer cells,Q101405068,Q14914098
136,TLR4,Langerhans cells,Q101405080,Q14914098
137,TLR4,Macrophages,Q101405081,Q14914098
138,TLR4,Monocytes,Q101405036,Q14914098
139,TLR4,Osteoclast precursor cells,Q101405070,Q14914098
140,TLR4,Platelets,Q101404882,Q14914098
141,TLR4,Stromal cells,Q101404941,Q14914098
142,ADRB1,Adipocytes,Q101405079,Q14916359
143,ADRB1,Pinealocytes,Q101404890,Q14916359
144,ADRB2,Adipocytes,Q101405079,Q14916378
145,ADRB2,Microglia,Q101404888,Q14916378
146,ADRB2,Pyramidal cells,Q101404930,Q14916378
147,ADRB3,Adipocytes,Q101405079,Q17815528
148,FABP4,Adipocytes,Q101405079,Q14889263
149,FABP4,Cardiomyocytes,Q101405077,Q14889263
150,FABP4,Dendritic cells,Q101404869,Q14889263
151,FABP4,Endothelial cells,Q101404908,Q14889263
152,FABP4,Fibroblasts,Q101404861,Q14889263
153,FABP4,Loop of Henle cells,Q101405109,Q14889263
154,FABP4,Macrophages,Q101405081,Q14889263
155,FABP4,Paneth cells,Q101405040,Q14889263
156,FABP4,Pericytes,Q101405045,Q14889263
157,FABP4,Smooth muscle cells,Q101404901,Q14889263
158,TNFRSF9,Adipocytes,Q101405079,Q14913226
159,TNFRSF9,B cells,Q101405086,Q14913226
160,TNFRSF9,Trophoblast cells,Q101404927,Q14913226
161,TBX1,Adipocytes,Q101405079,Q18031845
162,TBX1,Endothelial cells,Q101404908,Q18031845
163,TMEM26,Adipocytes,Q101405079,Q18053360
164,TCF21,Adipocytes,Q101405079,Q18031879
165,TCF21,Fibroblasts,Q101404861,Q18031879
166,TCF21,Podocytes,Q101405039,Q18031879
167,TCF21,Satellite cells,Q101404953,Q18031879
168,TCF21,Smooth muscle cells,Q101404901,Q18031879
169,ADIPOQ,Adipocytes,Q101405079,Q14864060
170,ADIPOQ,Cardiomyocytes,Q101405077,Q14864060
171,ADIPOQ,Paneth cells,Q101405040,Q14864060
172,CFD,Adipocytes,Q101405079,Q17913951
173,CFD,Leydig cells,Q101405116,Q17913951
174,CFD,Mast cells,Q101404923,Q17913951
175,CFD,Paneth cells,Q101405040,Q17913951
176,ACVR1C,Adipocytes,Q101405079,Q14905095
177,SLC2A4,Adipocytes,Q101405079,Q14887306
178,SLC2A4,Oxyphil cells,Q101404925,Q14887306
179,SLC2A4,Podocytes,Q101405039,Q14887306
180,LPIN1,Adipocytes,Q101405079,Q18036968
181,PLIN1,Adipocytes,Q101405079,Q14897674
182,PLIN1,Hepatocytes,Q101405101,Q14897674
183,PCK1,Adipocytes,Q101405079,Q18030379
184,PCK1,Hepatocytes,Q101405101,Q18030379
185,PCK1,Proximal tubule cells,Q101404885,Q18030379
186,RETN,Adipocytes,Q101405079,Q14864068
187,MEST,Adipocytes,Q101405079,Q18029045
188,MEST,Anterior pituitary gland cells,Q101405034,Q18029045
189,MEST,Tanycytes,Q101405074,Q18029045
190,ADM2,Adipocytes,Q101405079,Q18046470
191,STAT6,Adipocytes,Q101405079,Q14914613
192,STAT6,T helper cells,Q101423298,Q14914613
193,STAT6,T helper cells,Q101404876,Q14914613
194,TFE3,Adipocytes,Q101405079,Q18031962
195,CPPED1,Adipocytes,Q101405079,Q18041751
196,APPL2,Adipocytes,Q101405079,Q18041643
197,APPL2,Ciliated cells,Q101405066,Q18041643
198,APOL6,Adipocytes,Q101405079,Q18046812
199,PXMP2,Adipocytes,Q101405079,Q18030975
200,CAVIN1,Adipocytes,Q101405079,Q18054260
201,AGT,Adipocytes,Q101405079,Q14859647
202,AGT,Astrocytes,Q67801129,Q14859647
203,AGT,Astrocytes,Q101405103,Q14859647
204,SLC1A5,Adipocytes,Q101405079,Q18031524
205,SLC1A5,Neutrophils,Q101405102,Q18031524
206,ACSL1,Adipocytes,Q101405079,Q17927081
207,ACSL1,Epsilon cells,Q101404922,Q17927081
208,BCAT2,Adipocytes,Q101405079,Q17838571
209,PNPLA2,Adipocytes,Q101405079,Q18042889
210,PNPLA2,Oligodendrocytes,Q101404898,Q18042889
211,CIDEC,Adipocytes,Q101405079,Q18045501
212,CDO1,Adipocytes,Q101405079,Q17860664
213,CDO1,Enterocytes,Q101405073,Q17860664
214,CDO1,Oligodendrocyte progenitor cells,Q101404917,Q17860664
215,CDO1,Principal cells,Q101404911,Q17860664
216,APOC1,Adipocytes,Q101405079,Q14904550
217,MMP2,Adipocytes,Q101405079,Q15327913
218,MMP2,Fibroblasts,Q101404861,Q15327913
219,MMP2,Myocytes,Q101404903,Q15327913
220,MMP2,Stromal cells,Q101404941,Q15327913
221,POSTN,Adipocytes,Q101405079,Q18035545
222,POSTN,Endothelial cells,Q101404908,Q18035545
223,POSTN,Fibroblasts,Q101404861,Q18035545
224,POSTN,Osteoblasts,Q101405044,Q18035545
225,POSTN,Pericytes,Q101405045,Q18035545
226,LOX,Adipocytes,Q101405079,Q14907096
227,LOX,Cardiomyocytes,Q101405077,Q14907096
228,LOX,Endothelial cells,Q101404908,Q14907096
229,LOX,Endothelial cells (aorta),Q101404926,Q14907096
230,LOX,Erythroid-like and erythroid precursor cells,Q101404957,Q14907096
231,LOX,Fibroblasts,Q101404861,Q14907096
232,LOX,Granulosa cells,Q101404921,Q14907096
233,LOX,Mesothelial cells,Q101405100,Q14907096
234,LOX,Smooth muscle cells,Q101404901,Q14907096
235,COL6A2,Adipocytes,Q101405079,Q17908052
236,COL6A2,Fibroblasts,Q101404861,Q17908052
237,COL6A2,Pancreatic stellate cells,Q101404859,Q17908052
238,ZBTB16,Adipocytes,Q101405079,Q18032508
239,ZBTB16,Myoblasts,Q101404940,Q18032508
240,ZBTB16,Natural killer T cells,Q101404895,Q18032508
241,ZBTB16,NK cells,Q101404899,Q18032508
242,GULP1,Adipocytes,Q101405079,Q18040300
243,GULP1,Enterocytes,Q101405073,Q18040300
244,GULP1,Peri-islet Schwann cells,Q101404867,Q18040300
245,FZD4,Adipocytes,Q101405079,Q18032820
246,FZD4,Endothelial cells (aorta),Q101404926,Q18032820
247,TRIP10,Adipocytes,Q101405079,Q18034000
248,FGF7,Adipocytes,Q101405079,Q17927881
249,MAOB,Adipocytes,Q101405079,Q18028862
250,MAOB,Mast cells,Q101404923,Q18028862
251,SOCS1,Adipocytes,Q101405079,Q18033186
252,SOCS1,Mast cells,Q101404923,Q18033186
253,ARNT,Adipocytes,Q101405079,Q14905275
254,SULT1A1,Adipocytes,Q101405079,Q18031780
255,SULT1A1,Endothelial cells (aorta),Q101404926,Q18031780
256,SULT1A1,Hepatocytes,Q101405101,Q18031780
257,NNMT,Adipocytes,Q101405079,Q18252674
258,NNMT,Basal cells,Q101404853,Q18252674
259,NNMT,Fibroblasts,Q101404861,Q18252674
260,NNMT,Mammary epithelial cells,Q101404863,Q18252674
261,AOC3,Adipocytes,Q101405079,Q18033176
262,AOC3,Pericytes,Q101405045,Q18033176
263,AOC3,Smooth muscle cells,Q101404901,Q18033176
264,H6PD,Adipocytes,Q101405079,Q18034383
265,CYP27A1,Adipocytes,Q101405079,Q14905630
266,CYP27A1,Macrophages,Q101405081,Q14905630
267,MNDA,Adipocytes,Q101405079,Q18029230
268,MNDA,Kupffer cells,Q101405068,Q18029230
269,MNDA,Monocytes,Q101405036,Q18029230
270,HSD11B1,Adipocytes,Q101405079,Q14327752
271,HSD11B1,Hepatocytes,Q101405101,Q14327752
272,HSD11B1,Mast cells,Q101404923,Q14327752
273,HSD11B1,NK cells,Q101404899,Q14327752
274,HSD11B1,Pericytes,Q101405045,Q14327752
275,HSD11B1,Proximal tubule cells,Q101404885,Q14327752
276,AR,Adipocytes,Q101405079,Q14873015
277,AR,Hepatocytes,Q101405101,Q14873015
278,AR,Luminal epithelial cells,Q101404886,Q14873015
279,AR,Mesothelial cells,Q101405100,Q14873015
280,AR,Monocytes,Q101405036,Q14873015
281,AR,Sertoli cells,Q101404909,Q14873015
282,GDF10,Adipocytes,Q101405079,Q14912142
283,GDF10,Bergmann glia,Q101404920,Q14912142
284,GDF10,Stromal cells,Q101404941,Q14912142
285,CYP1B1,Adipocytes,Q101405079,Q14905165
286,CYP1B1,Endothelial cells,Q101404908,Q14905165
287,CYP1B1,Endothelial cells (aorta),Q101404926,Q14905165
288,CYP1B1,Fibroblasts,Q101404861,Q14905165
289,CYP1B1,Peritubular myoid cells,Q101405058,Q14905165
290,COL5A3,Adipocytes,Q101405079,Q18039814
291,STEAP4,Adipocytes,Q101405079,Q18046269
292,STEAP4,Pericytes,Q101405045,Q18046269
293,CCL11,Adipocytes,Q101405079,Q14907650
294,CCL11,Eosinophils,Q101405048,Q14907650
295,CCL11,Fibroblasts,Q101404861,Q14907650
296,CCL11,Osteoblasts,Q101405044,Q14907650
297,NR1H3,Adipocytes,Q101405079,Q18034995
298,NR1H3,Pericytes,Q101405045,Q18034995
299,NR1H3,Red pulp macrophages,Q101404936,Q18034995
300,DEPTOR,Adipocytes,Q101405079,Q18045765
301,DEPTOR,Interneurons,Q101405035,Q18045765
302,CYTH3,Adipocytes,Q101405079,Q18033955
303,CYTH3,Enteric neurons,Q101404906,Q18033955
304,FMO1,Adipocytes,Q101405079,Q5458077
305,FMO1,Neurons,Q101405104,Q5458077
306,ACADSB,Adipocytes,Q101405079,Q4650492
307,XDH,Adipocytes,Q101405079,Q15330855
308,XDH,Endothelial cells,Q101404908,Q15330855
309,RSPO3,Adipocytes,Q101405079,Q18047823
310,PTGES,Adipocytes,Q101405079,Q18034361
311,PTGES,Principal cells,Q101404911,Q18034361
312,CREB3L1,Adipocytes,Q101405079,Q18048446
313,CREB3L1,Goblet cells,Q101405054,Q18048446
314,CREB3L1,Mast cells,Q101404923,Q18048446
315,ANGPTL2,Adipocytes,Q101405079,Q18037189
316,ANGPTL2,Ependymal cells,Q101405078,Q18037189
317,ANGPTL2,Fibroblasts,Q101404861,Q18037189
318,ANGPTL2,Podocytes,Q101405039,Q18037189
319,ADAM12,Adipocytes,Q101405079,Q18032713
320,ADAM12,Myoblasts,Q101404940,Q18032713
321,ADAM12,Myocytes,Q101404903,Q18032713
322,LBP,Adipocytes,Q101405079,Q14907577
323,NMB,Adipocytes,Q101405079,Q18030168
324,NMB,Interneurons,Q101405035,Q18030168
325,RARRES2,Adipocytes,Q101405079,Q18031045
326,RARRES2,Ependymal cells,Q101405078,Q18031045
327,RARRES2,Fibroblasts,Q101404861,Q18031045
328,RARRES2,Mesothelial cells,Q101405100,Q18031045
329,RARRES2,Pericytes,Q101405045,Q18031045
330,RARRES2,Peritubular myoid cells,Q101405058,Q18031045
331,FST,Adipocytes,Q101405079,Q14904864
332,FST,Hepatocytes,Q101405101,Q14904864
333,FST,Keratinocytes,Q101405049,Q14904864
334,FST,Myoepithelial cells,Q101404924,Q14904864
335,CPXM1,Adipocytes,Q101405079,Q18042352
336,C3,Adipocytes,Q101405079,Q14874317
337,ADAMTS5,Adipocytes,Q101405079,Q14865289
338,ADAMTS5,Fibroblasts,Q101404861,Q14865289
339,ADAMTS5,Loop of Henle cells,Q101405109,Q14865289
340,ADAMTS5,Photoreceptor cells,Q101404878,Q14865289
341,ADAMTS5,Photoreceptor cells,Q101404879,Q14865289
342,MT2A,Adipocytes,Q101405079,Q18029495
343,TIMP1,Adipocytes,Q101405079,Q18031995
344,TIMP1,Hepatic stellate cells,Q101404946,Q18031995
345,TIMP1,Pancreatic stellate cells,Q101404859,Q18031995
346,METRN,Adipocytes,Q101405079,Q18045935
347,METRN,Bergmann glia,Q101404920,Q18045935
348,METRNL,Adipocytes,Q101405079,Q18054272
349,MYO1C,Adipocytes,Q101405079,Q18029782
350,NQO1,Adipocytes,Q101405079,Q17913995
351,NQO1,Olfactory epithelial cells,Q101405047,Q17913995
352,SYAP1,Adipocytes,Q101405079,Q18048778
353,CRNDE,Adipocytes,Q101405079,Q18059664
354,AQP5,Adipocytes,Q101405079,Q17831317
355,AQP5,Airway goblet cells,Q101405090,Q17831317
356,AQP5,Luminal epithelial cells,Q101404886,Q17831317
357,AQP5,Pulmonary alveolar type I cells,Q101405061,Q17831317
358,TSPO,Adipocytes,Q101405079,Q14913474
359,AZGP1,Adipocytes,Q101405079,Q17836600
360,AZGP1,Hepatocytes,Q101405101,Q17836600
361,LRP1,Adipocytes,Q101405079,Q535544
362,LRP1,Megakaryocytes,Q101404874,Q535544
363,PDE3B,Adipocytes,Q101405079,Q18030405
364,LGALS12,Adipocytes,Q101405079,Q18047991
365,SERPINF1,Adipocytes,Q101405079,Q18030441
366,SERPINF1,Osteoclasts,Q101404928,Q18030441
367,SERPINF1,Plasmacytoid dendritic cells,Q101405033,Q18030441
368,CPT1B,Adipocytes,Q101405079,Q17909191
369,ELOVL3,Adipocytes,Q101405079,Q18047144
370,PPARGC1A,Adipocytes,Q101405079,Q18035922
371,MPZL1,Adipocytes,Q101405079,Q18033761
372,CITED1,Adipocytes,Q101405079,Q18029412
373,CITED1,Kidney progenitor cells,Q101405120,Q18029412
374,CITED1,Mammary epithelial cells,Q101404863,Q18029412
375,DPT,Adipocytes,Q101405079,Q5262711
376,DPT,Fibroblasts,Q101404861,Q5262711
377,ZNF423,Adipocytes,Q101405079,Q18036715
378,ESM1,Adipocytes,Q101405079,Q18036111
379,ESM1,Endothelial cells,Q101404908,Q18036111
380,TH,Adrenergic neurons,Q101405030,Q18254977
381,TH,Dopaminergic neurons,Q101405098,Q18254977
382,TH,Interneurons,Q101405035,Q18254977
383,TH,Juxtaglomerular cells,Q101404858,Q18254977
384,TH,Neurons,Q101405104,Q18254977
385,TH,Noradrenergic neurons,Q101404932,Q18254977
386,TH,Purkinje neurons,Q101404913,Q18254977
387,DDC,Adrenergic neurons,Q101405030,Q17913463
388,DDC,Dopaminergic neurons,Q101405098,Q17913463
389,DDC,Mast cells,Q101404923,Q17913463
390,DDC,Noradrenergic neurons,Q101404932,Q17913463
391,DDC,Oligodendrocytes,Q101404898,Q17913463
392,DBH,Adrenergic neurons,Q101405030,Q14907561
393,DBH,Noradrenergic neurons,Q101404932,Q14907561
394,PNMT,Adrenergic neurons,Q101405030,Q18030633
395,PNMT,Cardiomyocytes,Q101405077,Q18030633
396,PNMT,Chromaffin cells,Q101404868,Q18030633
397,SLC18A2,Adrenergic neurons,Q101405030,Q14916234
398,SLC18A2,Chromaffin cells,Q101404868,Q14916234
399,SLC18A2,Dopaminergic neurons,Q101405098,Q14916234
400,SLC18A2,Enteric glia cells,Q101405119,Q14916234
401,SLC18A2,Noradrenergic neurons,Q101404932,Q14916234
402,NPFF,Adrenergic neurons,Q101405030,Q18033159
403,SLC12A7,Adrenergic neurons,Q101405030,Q18035624
404,SYT1,Adrenergic neurons,Q101405030,Q18031809
405,AQP1,Airway epithelial cells,Q101405065,Q14905238
406,AQP1,Cardiomyocytes,Q101405077,Q14905238
407,AQP1,Cholangiocytes,Q101405042,Q14905238
408,AQP1,Choroid plexus cells,Q101404896,Q14905238
409,AQP1,Ductal cells,Q101404956,Q14905238
410,AQP1,Endothelial cells,Q101404908,Q14905238
411,AQP1,Enterocytes,Q101405073,Q14905238
412,AQP1,Ependymal cells,Q101405078,Q14905238
413,AQP1,Erythroid-like and erythroid precursor cells,Q101404957,Q14905238
414,AQP1,Loop of Henle cells,Q101405109,Q14905238
415,AQP1,Neurons,Q101405104,Q14905238
416,AQP1,Proximal tubule cells,Q101404885,Q14905238
417,ADH7,Airway epithelial cells,Q101405065,Q17710293
418,ADH7,Endothelial cells (aorta),Q101404926,Q17710293
419,CDH1,Airway epithelial cells,Q101405065,Q17859787
420,CDH1,Basophils,Q101405089,Q17859787
421,CDH1,Embryonic stem cells,Q101405112,Q17859787
422,CDH1,Epiblast cells,Q101404877,Q17859787
423,CDH1,Epithelial cells,Q101404948,Q17859787
424,CDH1,Erythroblasts,Q101405046,Q17859787
425,CDH1,Hepatoblasts,Q101404910,Q17859787
426,CDH1,Hepatocytes,Q101405101,Q17859787
427,CDH1,Luminal epithelial cells,Q101404886,Q17859787
428,CDH1,Mammary epithelial cells,Q101404863,Q17859787
429,CDH1,Mesothelial cells,Q101405100,Q17859787
430,CDH1,Plasmacytoid dendritic cells,Q101405033,Q17859787
431,CDH1,Satellite cells,Q101404953,Q17859787
432,CDH1,Sebocytes,Q101405069,Q17859787
433,SEC14L3,Airway epithelial cells,Q101405065,Q18053950
434,SEC14L3,Ciliated cells,Q101405066,Q18053950
435,SEC14L3,Pulmonary alveolar type I cells,Q101405061,Q18053950
436,MUC5B,Airway goblet cells,Q101405090,Q18061232
437,MUC5B,Cholangiocytes,Q101405042,Q18061232
438,MUC5B,Goblet cells,Q101405054,Q18061232
439,MUC16,Airway goblet cells,Q101405090,Q14864522
440,MUC16,Epithelial cells,Q101404948,Q14864522
441,MUC16,Mesothelial cells,Q101405100,Q14864522
442,LTF,Airway goblet cells,Q101405090,Q14864016
443,LTF,Epithelial cells,Q101404948,Q14864016
444,LTF,Luminal epithelial cells,Q101404886,Q14864016
445,LTF,Neutrophils,Q101405102,Q14864016
446,SCGB3A1,Airway goblet cells,Q101405090,Q18048620
447,SCGB3A1,Cholangiocytes,Q101405042,Q18048620
448,DMBT1,Airway goblet cells,Q101405090,Q17914021
449,DMBT1,Enterocytes,Q101405073,Q17914021
450,DMBT1,Paneth cells,Q101405040,Q17914021
451,LIPF,Airway goblet cells,Q101405090,Q18033040
452,MSLN,Airway goblet cells,Q101405090,Q14914057
453,MSLN,Mesothelial cells,Q101405100,Q14914057
454,AGR2,Airway goblet cells,Q101405090,Q18035476
455,AGR2,Cholangiocytes,Q101405042,Q18035476
456,AGR2,Epithelial cells,Q101404948,Q18035476
457,AGR2,Goblet cells,Q101405054,Q18035476
458,AGR2,Luminal epithelial cells,Q101404886,Q18035476
459,AGR2,Paneth cells,Q101405040,Q18035476
460,AGR2,Schwann cells,Q101404893,Q18035476
461,GP2,Airway goblet cells,Q101405090,Q18026318
462,GP2,Microfold cells,Q101404934,Q18026318
463,PIGR,Airway goblet cells,Q101405090,Q18253018
464,PIGR,Cholangiocytes,Q101405042,Q18253018
465,PIGR,Ductal cells,Q101404956,Q18253018
466,PIGR,Epithelial cells,Q101404948,Q18253018
467,PIGR,Pulmonary alveolar type II cells,Q101404950,Q18253018
468,TFF2,Airway goblet cells,Q101405090,Q18031965
469,TFF2,Cholangiocytes,Q101405042,Q18031965
470,TFF2,Ductal cells,Q101404956,Q18031965
471,TFF2,Foveolar cells,Q101405056,Q18031965
472,QSOX1,Airway goblet cells,Q101405090,Q18030922
473,FXYD3,Airway goblet cells,Q101405090,Q18030595
474,SEC23B,Airway goblet cells,Q101405090,Q18035422
475,SEC23B,Epithelial cells,Q101404948,Q18035422
476,CEACAM1,Airway goblet cells,Q101405090,Q17848256
477,CEACAM1,Enterocytes,Q101405073,Q17848256
478,CEACAM1,Epithelial cells,Q101404948,Q17848256
479,CEACAM1,Erythroid-like and erythroid precursor cells,Q101404957,Q17848256
480,CEACAM1,Neutrophils,Q101405102,Q17848256
481,GOLPH3,Airway goblet cells,Q101405090,Q17119392
482,GGH,Airway goblet cells,Q101405090,Q18033470
483,GALNT5,Airway goblet cells,Q101405090,Q18036414
484,GALNT6,Airway goblet cells,Q101405090,Q18036413
485,MUC5AC,Airway goblet cells,Q101405090,Q18029666
486,MUC5AC,Epithelial cells,Q101404948,Q18029666
487,MUC5AC,Foveolar cells,Q101405056,Q18029666
488,MUC5AC,Goblet cells,Q101405054,Q18029666
489,MUC4,Airway goblet cells,Q101405090,Q18029663
490,MUC4,Goblet cells,Q101405054,Q18029663
491,MUC20,Airway goblet cells,Q101405090,Q18053197
492,SPDEF,Airway goblet cells,Q101405090,Q18037702
493,SPDEF,Goblet cells,Q101405054,Q18037702
494,DUSP4,Airway goblet cells,Q101405090,Q17915100
495,NOG,Airway smooth muscle cells,Q101405111,Q18252680
496,NOG,Chondrocytes,Q101405092,Q18252680
497,ACTA2,Airway smooth muscle cells,Q101405111,Q17709258
