,official gene symbol,cell type
352,GNRHR,Anterior pituitary gland cells
353,PITX1,Anterior pituitary gland cells
354,GH1,Anterior pituitary gland cells
355,TSHB,Anterior pituitary gland cells
356,PAX7,Anterior pituitary gland cells
357,LHB,Anterior pituitary gland cells
358,S100B,Astrocytes
359,SLC1A2,Astrocytes
360,GFAP,Astrocytes
361,BYSL,Astrocytes
362,ALDH1L1,Astrocytes
363,CD40,Astrocytes
364,SLC1A3,Astrocytes
365,FGFR3,Astrocytes
366,GJB6,Astrocytes
367,AQP4,Astrocytes
368,HTRA1,Astrocytes
369,S100A8,Astrocytes
370,CLDN10,Astrocytes
371,ITIH3,Astrocytes
372,NKAIN4,Astrocytes
373,ACSL6,Astrocytes
374,ACSBG1,Astrocytes
375,TRIL,Astrocytes
376,AGT,Astrocytes
377,GPR37L1,Astrocytes
378,SLC4A4,Astrocytes
379,NTSR2,Astrocytes
380,SLC6A11,Astrocytes
381,HSPA2,Astrocytes
382,SLC16A2,Astrocytes
383,SYNE1,Astrocytes
384,DIO2,Astrocytes
385,SLC7A10,Astrocytes
386,ENTPD2,Astrocytes
387,HSPB6,Astrocytes
388,PLXNB1,Astrocytes
389,LCAT,Astrocytes
390,PLA2G7,Astrocytes
391,CMTM5,Astrocytes
392,S1PR1,Astrocytes
393,SLC39A12,Astrocytes
394,LUZP2,Astrocytes
395,GSTA4,Astrocytes
396,SLC25A28,Astrocytes
397,SLC25A46,Astrocytes
398,WNT3,Astrocytes
399,FZD2,Astrocytes
400,TEAD1,Astrocytes
401,RLBP1,Astrocytes
402,ALDOC,Astrocytes
403,GJA1,Astrocytes
404,APOE,Astrocytes
405,LCN2,Astrocytes
406,SOX9,Astrocytes
407,VIM,Astrocytes
408,CCR7,Astrocytes
409,AANAT,Astrocytes
410,FABP7,Astrocytes
411,SOCS3,Astrocytes
412,SYNM,Astrocytes
413,HMG20A,Astrocytes
414,NFATC3,Astrocytes
415,SRR,Astrocytes
416,SLC1A6,Astrocytes
417,ETS1,Astrocytes
418,SLIT1,Astrocytes
419,SNPH,Astrocytes
420,IL23A,Astrocytes
421,CD2,B cells
422,CD5,B cells
423,MS4A1,B cells
424,CR2,B cells
425,CD22,B cells
426,FCER2,B cells
427,CD40,B cells
428,CD69,B cells
429,CD70,B cells
430,CD79A,B cells
431,CD79B,B cells
432,CD80,B cells
433,CD86,B cells
434,TNFRSF9,B cells
435,SDC1,B cells
436,TNFSF4,B cells
437,TNFRSF13B,B cells
438,TNFRSF13C,B cells
439,PDCD1,B cells
440,IGHD,B cells
441,IGHM,B cells
442,RASGRP3,B cells
443,HLA-DRA,B cells
444,LTB,B cells
445,HLA-DQA1,B cells
446,FLI1,B cells
447,CD14,B cells
448,SEMA6D,B cells
449,LAIR1,B cells
450,IFIT3,B cells
451,IGLL1,B cells
452,DNTT,B cells
453,MME,B cells
454,SPN,B cells
455,CD19,B cells
456,CD24,B cells
457,CD27,B cells
458,B3GAT1,B cells
459,CD72,B cells
460,MUM1,B cells
461,PAX5,B cells
462,JCHAIN,B cells
463,MZB1,B cells
464,LY6D,B cells
466,FCMR,B cells
467,BANK1,B cells
468,EDEM1,B cells
469,VPREB3,B cells
471,POU2AF1,B cells
472,CRELD2,B cells
473,DERL3,B cells
475,RALGPS2,B cells
476,FCHSD2,B cells
477,POLD4,B cells
479,TNFRSF17,B cells
480,HVCN1,B cells
482,FCRLA,B cells
483,EDEM2,B cells
484,BLNK,B cells
486,TXNDC11,B cells
487,BTLA,B cells
488,SMAP2,B cells
491,FKBP11,B cells
492,SEC61A1,B cells
493,SPCS3,B cells
494,SPIB,B cells
495,EAF2,B cells
496,CXCR4,B cells
497,BIRC3,B cells
498,IGLC2,B cells
499,IGLC3,B cells
500,IGLC1,B cells
501,IL21R,B cells
502,IGKC,B cells
504,VPREB1,B cells
506,LRMP,B cells
507,KLHL6,B cells
508,SLAMF6,B cells
509,FAM129C,B cells
510,BST1,B cells
511,MSH5,B cells
512,DOK3,B cells
513,BACH2,B cells
515,PXK,B cells
516,IGHG1,B cells
517,IGHG3,B cells
518,IGHG4,B cells
520,CD38,B cells
521,PTPRC,B cells
522,EBF1,B cells
523,BCL11A,B cells
524,CCR7,B cells
525,CD55,B cells
526,CD74,B cells
527,CD52,B cells
528,TLR9,B cells
529,SWAP70,B cells
530,HMGA1,B cells
531,CD38,B cells memory
532,CD80,B cells memory
533,CD84,B cells memory
534,CD86,B cells memory
535,NT5E,B cells memory
536,PAX5,B cells memory
537,PTPRC,B cells memory
538,SPIB,B cells memory
539,ADAM28,B cells memory
540,AIM2,B cells memory
541,ALOX5,B cells memory
542,BACH2,B cells memory
543,BANK1,B cells memory
544,BLK,B cells memory
545,CCR6,B cells memory
546,CD180,B cells memory
547,CD19,B cells memory
548,CD1C,B cells memory
549,CD22,B cells memory
550,CD27,B cells memory
551,CD37,B cells memory
552,CD69,B cells memory
553,CD72,B cells memory
554,CD79A,B cells memory
555,CD79B,B cells memory
556,CLCA3P,B cells memory
557,CR2,B cells memory
558,CXCR5,B cells memory
559,DENND5B,B cells memory
560,FCGR2B,B cells memory
561,FCRL2,B cells memory
562,FRK,B cells memory
563,GNG7,B cells memory
564,GPR18,B cells memory
565,GUSBP11,B cells memory
566,HHEX,B cells memory
567,HLA-DOB,B cells memory
568,IFNA10,B cells memory
569,IGHD,B cells memory
570,IGHM,B cells memory
571,IGKC,B cells memory
572,IGLL3P,B cells memory
573,IL7,B cells memory
574,IRF8,B cells memory
575,LTB,B cells memory
576,LY86,B cells memory
577,MBL2,B cells memory
578,MS4A1,B cells memory
579,NMBR,B cells memory
580,NPIPB15,B cells memory
581,P2RX5,B cells memory
582,PNOC,B cells memory
583,PTPRCAP,B cells memory
584,RALGPS2,B cells memory
585,RASGRP2,B cells memory
586,SIK1,B cells memory
587,SIT1,B cells memory
588,SLC12A1,B cells memory
589,SP140,B cells memory
590,STAP1,B cells memory
591,TMEM156,B cells memory
592,TNFRSF13B,B cells memory
593,TNFRSF17,B cells memory
594,TRAF4,B cells memory
595,VPREB3,B cells memory
596,ZBTB32,B cells memory
597,CD19,B cells naive
598,CD2,B cells naive
599,CD72,B cells naive
600,IL2RA,B cells naive
601,MME,B cells naive
602,ABCB4,B cells naive
603,ADAM28,B cells naive
604,BACH2,B cells naive
605,BANK1,B cells naive
606,BCL7A,B cells naive
607,BEND5,B cells naive
608,BLK,B cells naive
609,BRAF,B cells naive
610,CD180,B cells naive
611,CD1C,B cells naive
612,CD22,B cells naive
613,CD37,B cells naive
614,CD69,B cells naive
615,CD79A,B cells naive
616,CD79B,B cells naive
617,CR2,B cells naive
618,CXCR5,B cells naive
619,EAF2,B cells naive
620,FCER2,B cells naive
621,FCGR2B,B cells naive
622,FCRL2,B cells naive
623,FRK,B cells naive
624,GPR18,B cells naive
625,GUSBP11,B cells naive
626,HHEX,B cells naive
627,HLA-DOB,B cells naive
628,IGHD,B cells naive
629,IGHM,B cells naive
630,IGKC,B cells naive
631,IGLL3P,B cells naive
632,IL4R,B cells naive
633,IRF8,B cells naive
634,LTB,B cells naive
635,LY86,B cells naive
636,MEP1A,B cells naive
637,MICAL3,B cells naive
638,MS4A1,B cells naive
639,NMBR,B cells naive
640,P2RX5,B cells naive
641,P2RY14,B cells naive
642,PNOC,B cells naive
643,PSG2,B cells naive
644,PTPRCAP,B cells naive
645,RALGPS2,B cells naive
646,RASGRP2,B cells naive
647,SELL,B cells naive
648,SIK1,B cells naive
649,SLC12A1,B cells naive
650,SPIB,B cells naive
651,STAP1,B cells naive
652,TCL1A,B cells naive
653,UGT1A8,B cells naive
654,VPREB3,B cells naive
655,ZNF286A,B cells naive
656,TNFSF8,B cells naive
657,FOXP1,B cells naive
658,MITF,B cells naive
659,CD52,B cells naive
660,HLA-DQB1,B cells naive
661,TNFRSF13C,B cells naive
662,LINC00926,B cells naive
663,STAG3,B cells naive
664,BIRC3,B cells naive
665,CD74,B cells naive
666,KRT5,Basal cells
667,KRT17,Basal cells
668,BCL2,Basal cells
669,KRT14,Basal cells
670,TP63,Basal cells
671,CDH3,Basal cells
672,KRT6B,Basal cells
673,METTL5,Basal cells
674,ANXA11,Basal cells
675,TMEM14A,Basal cells
676,BNIP3,Basal cells
677,TYMP,Basal cells
678,DPP7,Basal cells
679,OPTN,Basal cells
680,PLAU,Basal cells
681,CAPN1,Basal cells
682,BACE2,Basal cells
683,CTNNB1,Basal cells
684,ILK,Basal cells
685,PKP3,Basal cells
686,ITGA3,Basal cells
687,MT1L,Basal cells
688,SRSF4,Basal cells
689,RAB38,Basal cells
690,ALKBH7,Basal cells
691,DNPH1,Basal cells
692,KRT23,Basal cells
693,SLC16A3,Basal cells
694,GYPC,Basal cells
695,DUSP23,Basal cells
696,RARRES1,Basal cells
697,ITGA2,Basal cells
698,SLC25A37,Basal cells
699,GAPDHP1,Basal cells
700,ITGB6,Basal cells
701,ITGB4,Basal cells
702,SPHK1,Basal cells
703,ACTG2,Basal cells
704,IRF6,Basal cells
705,RAB13,Basal cells
706,LAMB3,Basal cells
707,ACADVL,Basal cells
708,MMP7,Basal cells
709,HEBP2,Basal cells
710,FBXO32,Basal cells
711,MT1E,Basal cells
712,MT2P1,Basal cells
713,SERINC2,Basal cells
714,NNMT,Basal cells
715,KRT15,Basal cells
716,PLP2,Basal cells
717,MT1X,Basal cells
718,S100A14,Basal cells
719,LAMC2,Basal cells
720,BMP7,Basal cells
721,MYLK,Basal cells
722,CD69,Basophils
723,IL3RA,Basophils
724,CCR3,Basophils
725,ENPP3,Basophils
726,FCER1A,Basophils
727,TLR4,Basophils
728,LTC4S,Basophils
729,CPA3,Basophils
730,ITGAL,Basophils
731,ITGAM,Basophils
732,ITGAX,Basophils
733,IL4R,Basophils
734,ITGB7,Basophils
735,IL4,Basophils
738,MS4A2,Basophils
739,MS4A3,Basophils
740,HDC,Basophils
741,GATA2,Basophils
742,CCL3,Basophils
743,CD33,Basophils
744,CD44,Basophils
745,CDH1,Basophils
746,HTR1B,Basophils
747,IGFBP7,Basophils
749,DNASE2B,Basophils
750,FADS2,Basophils
751,GPC4,Basophils
752,GRM6,Basophils
753,ACSS2,Basophils
754,ADORA2B,Basophils
756,AQP9,Basophils
757,BACE1,Basophils
758,BMP4,Basophils
759,CABLES1,Basophils
760,CCL4,Basophils
762,CEBPA,Basophils
764,E2F8,Basophils
765,FADS1,Basophils
766,FAR2,Basophils
767,FBXO9,Basophils
768,GABBR1,Basophils
770,GPR183,Basophils
772,HGF,Basophils
773,HIST1H1D,Basophils
774,HIST1H2AC,Basophils
775,IFITM1,Basophils
776,INF2,Basophils
777,JAZF1,Basophils
778,L1CAM,Basophils
779,LAMA5,Basophils
780,MBOAT1,Basophils
781,NFIL3,Basophils
782,NPL,Basophils
784,OSBPL5,Basophils
785,OTUB2,Basophils
786,P2RY1,Basophils
787,PDK3,Basophils
788,PDZD4,Basophils
789,PERP,Basophils
790,PIGY,Basophils
791,PLEKHG5,Basophils
792,PLG,Basophils
793,RNF39,Basophils
794,SLC26A3,Basophils
795,SLC26A8,Basophils
796,SNCAIP,Basophils
797,ST6GALNAC5,Basophils
798,SUPT3H,Basophils
799,TULP3,Basophils
800,TEC,Basophils
801,UNC93A,Basophils
802,WRN,Basophils
803,ID1,Basophils
804,GFAP,Bergmann glia
805,GDF10,Bergmann glia
806,GJB6,Bergmann glia
807,GRIA4,Bergmann glia
808,GRM3,Bergmann glia
809,NTSR2,Bergmann glia
810,ITIH3,Bergmann glia
811,A2M,Bergmann glia
812,PTCH1,Bergmann glia
813,CDC42EP4,Bergmann glia
814,BTBD17,Bergmann glia
815,AQP4,Bergmann glia
816,SLC4A4,Bergmann glia
817,HOPX,Bergmann glia
818,GPR37L1,Bergmann glia
819,ACSBG1,Bergmann glia
820,ALDH1L1,Bergmann glia
821,SLC1A3,Bergmann glia
822,SLC1A2,Bergmann glia
823,S100B,Bergmann glia
824,VIM,Bergmann glia
825,FABP7,Bergmann glia
826,TTC21B,Bergmann glia
827,HEPACAM,Bergmann glia
828,ZEB2,Bergmann glia
829,UFL1,Bergmann glia
830,NRXN3,Bergmann glia
831,ATP7A,Bergmann glia
832,BICD2,Bergmann glia
833,GJA1,Bergmann glia
834,METRN,Bergmann glia
835,P2RX7,Bergmann glia
836,EGFR,Bergmann glia
837,GRIA1,Bergmann glia
838,P2RY1,Bergmann glia
839,GRIN2B,Bergmann glia
840,GRIN3A,Bergmann glia
841,SEPT4,Bergmann glia
842,DAO,Bergmann glia
843,ITGB1,Bergmann glia
844,KIF1BP,Bergmann glia
845,GCGR,Beta cells
846,JPH3,Beta cells
847,CD40,Beta cells
848,HAMP,Beta cells
849,EZH1,Beta cells
850,NTRK1,Beta cells
851,PDX1,Beta cells
852,SLC2A2,Beta cells
853,NKX6-2,Beta cells
856,FXYD2,Beta cells
857,NPY,Beta cells
858,INS,Beta cells
859,RIMS1,Beta cells
860,MAFA,Beta cells
861,EFNA5,Beta cells
862,LMX1A,Beta cells
863,NKX2-2,Beta cells
864,NKX6-1,Beta cells
865,PAX4,Beta cells
866,IAPP,Beta cells
867,PCSK2,Beta cells
868,G6PC2,Beta cells
869,SLC30A8,Beta cells
871,PCSK1,Beta cells
872,GJD2,Beta cells
873,SCGN,Beta cells
874,IGF2,Beta cells
875,SYT13,Beta cells
876,FFAR2,Beta cells
877,NPTX2,Beta cells
878,PFKFB2,Beta cells
879,EDARADD,Beta cells
880,HOPX,Beta cells
881,SH3GL2,Beta cells
882,ADCYAP1,Beta cells
883,SCGB2A1,Beta cells
884,CASR,Beta cells
885,MAFB,Beta cells
886,PAX6,Beta cells
887,NEUROD1,Beta cells
888,ISL1,Beta cells
889,TGFBR3,Beta cells
890,SMAD9,Beta cells
891,SIX3,Beta cells
892,SIX2,Beta cells
893,BMP5,Beta cells
894,PIR,Beta cells
895,STXBP5,Beta cells
896,DLK1,Beta cells
897,MEG3,Beta cells
898,RGS16,Beta cells
899,RELN,Cajal-Retzius cells
900,DIABLO,Cajal-Retzius cells
901,ST3GAL5,Cajal-Retzius cells
902,ISOC1,Cajal-Retzius cells
903,SMOC2,Cajal-Retzius cells
904,DYNC1I1,Cajal-Retzius cells
905,NHLH2,Cajal-Retzius cells
906,CLSTN2,Cajal-Retzius cells
907,TMEM163,Cajal-Retzius cells
908,CACNA2D2,Cajal-Retzius cells
909,CIB2,Cajal-Retzius cells
911,NDNF,Cajal-Retzius cells
912,LINGO1,Cajal-Retzius cells
913,LNPK,Cajal-Retzius cells
914,RNF138,Cajal-Retzius cells
915,TMEM170B,Cajal-Retzius cells
916,ABCC5,Cajal-Retzius cells
917,CNRIP1,Cajal-Retzius cells
918,EBF3,Cajal-Retzius cells
919,FUT9,Cajal-Retzius cells
920,PABPN1,Cajal-Retzius cells
921,GNL3L,Cajal-Retzius cells
922,NUDT2,Cajal-Retzius cells
923,SLC25A46,Cajal-Retzius cells
924,NSMCE3,Cajal-Retzius cells
925,DACH1,Cajal-Retzius cells
926,FAM69B,Cajal-Retzius cells
927,HOMER2,Cajal-Retzius cells
928,MAP9,Cajal-Retzius cells
929,DNM3,Cajal-Retzius cells
930,LZTFL1,Cajal-Retzius cells
931,FSD1,Cajal-Retzius cells
932,TCEAL1,Cajal-Retzius cells
933,RAB11FIP2,Cajal-Retzius cells
934,BARHL2,Cajal-Retzius cells
935,TRIM44,Cajal-Retzius cells
936,SLC17A6,Cajal-Retzius cells
937,B3GALT1,Cajal-Retzius cells
938,SLITRK5,Cajal-Retzius cells
939,ERC2,Cajal-Retzius cells
940,NBEA,Cajal-Retzius cells
941,SLC25A36,Cajal-Retzius cells
942,ZDBF2,Cajal-Retzius cells
943,MAPK8,Cajal-Retzius cells
944,GDF5,Cajal-Retzius cells
945,ACHE,Cajal-Retzius cells
946,CCM2,Cajal-Retzius cells
947,WRAP73,Cajal-Retzius cells
949,NRG1,Cajal-Retzius cells
950,ATP13A2,Cajal-Retzius cells
951,CNTNAP2,Cajal-Retzius cells
952,PNOC,Cajal-Retzius cells
953,LHX1,Cajal-Retzius cells
954,LINGO2,Cajal-Retzius cells
955,FAT3,Cajal-Retzius cells
956,SRGAP3,Cajal-Retzius cells
957,CDH4,Cajal-Retzius cells
958,FLRT3,Cajal-Retzius cells
959,EDIL3,Cajal-Retzius cells
961,ZCCHC12,Cajal-Retzius cells
962,RALGPS2,Cajal-Retzius cells
963,FAM196A,Cajal-Retzius cells
964,SMAD1,Cajal-Retzius cells
965,TBR1,Cajal-Retzius cells
966,KCNH7,Cajal-Retzius cells
967,LHX5,Cajal-Retzius cells
968,CALB2,Cajal-Retzius cells
969,EMX2,Cajal-Retzius cells
970,ZIC2,Cajal-Retzius cells
971,WNT7B,Cajal-Retzius cells
972,AATF,Cajal-Retzius cells
973,NANOS1,Cajal-Retzius cells
974,TBCK,Cajal-Retzius cells
975,RGMB,Cajal-Retzius cells
976,DACT1,Cajal-Retzius cells
978,EOMES,Cajal-Retzius cells
979,CNR1,Cajal-Retzius cells
980,HAR1A,Cajal-Retzius cells
981,MYH6,Cardiac stem and precursor cells
982,WT1,Cardiac stem and precursor cells
983,TBX18,Cardiac stem and precursor cells
984,FUT4,Cardiac stem and precursor cells
985,KITLG,Cardiac stem and precursor cells
986,NKX2-5,Cardiac stem and precursor cells
987,ISL1,Cardiac stem and precursor cells
988,GATA4,Cardiac stem and precursor cells
